anio,semana,dia,contaminante,max,avg
2015,12,6,dioxido_de_azufre,5,2.7416666666666667
2013,12,5,dioxido_de_azufre,7,2.7166666666666667
2016,12,0,dioxido_de_azufre,3,1.8500000000000000
2015,12,1,dioxido_de_azufre,5,2.3916666666666667
2014,12,3,dioxido_de_azufre,3,1.8083333333333333
2016,12,1,dioxido_de_azufre,27,9.6333333333333333
2013,12,4,dioxido_de_azufre,10,4.3416666666666667
2015,12,3,dioxido_de_azufre,8,2.5416666666666667
2016,12,2,dioxido_de_azufre,37,16.7583333333333333
2013,12,3,dioxido_de_azufre,7,3.5000000000000000
2016,12,4,dioxido_de_azufre,5,2.2583333333333333
2016,12,6,dioxido_de_azufre,3,1.7000000000000000
2013,12,2,dioxido_de_azufre,6,2.7916666666666667
2015,12,2,dioxido_de_nitrogeno,30,13.7250000000000000
2014,12,2,dioxido_de_nitrogeno,23,12.3833333333333333
2013,12,3,dioxido_de_nitrogeno,69,21.5500000000000000
2014,12,1,dioxido_de_nitrogeno,20,11.7083333333333333
2013,12,2,dioxido_de_nitrogeno,48,21.3833333333333333
2015,12,5,dioxido_de_nitrogeno,36,20.2916666666666667
2015,12,4,dioxido_de_nitrogeno,34,15.7916666666666667
2013,12,1,dioxido_de_nitrogeno,29,15.6333333333333333
2016,12,3,dioxido_de_nitrogeno,38,13.4750000000000000
2014,12,5,dioxido_de_nitrogeno,41,18.7916666666666667
2015,12,0,dioxido_de_nitrogeno,29,12.3250000000000000
2013,12,0,dioxido_de_nitrogeno,25,12.7916666666666667
2016,12,4,dioxido_de_nitrogeno,28,11.8083333333333333
2013,12,6,dioxido_de_nitrogeno,31,10.5583333333333333
2014,12,3,dioxido_de_nitrogeno,40,17.8333333333333333
2015,12,3,dioxido_de_nitrogeno,23,13.2333333333333333
2016,12,6,dioxido_de_nitrogeno,18,8.8333333333333333
2013,12,5,dioxido_de_nitrogeno,33,12.5000000000000000
2016,12,2,dioxido_de_nitrogeno,42,18.9166666666666667
2014,12,6,dioxido_de_nitrogeno,40,19.9666666666666667
2014,12,0,dioxido_de_nitrogeno,32,15.3083333333333333
2016,12,0,dioxido_de_nitrogeno,21,11.9583333333333333
2015,12,1,dioxido_de_nitrogeno,18,9.6416666666666667
2013,12,4,dioxido_de_nitrogeno,41,17.4250000000000000
2016,12,1,dioxido_de_nitrogeno,35,17.1000000000000000
2014,12,4,dioxido_de_nitrogeno,36,19.3416666666666667
2015,12,6,dioxido_de_nitrogeno,31,15.4333333333333333
2016,12,5,dioxido_de_nitrogeno,27,9.8333333333333333
2016,12,6,monoxido_de_carbono,6,4.2666666666666667
2014,12,4,monoxido_de_carbono,14,9.0333333333333333
2013,12,5,monoxido_de_carbono,22,8.3500000000000000
2014,12,0,monoxido_de_carbono,10,6.5750000000000000
2015,12,2,monoxido_de_carbono,13,7.3000000000000000
2016,12,0,monoxido_de_carbono,12,6.2166666666666667
2013,12,0,monoxido_de_carbono,15,8.0166666666666667
2016,12,1,monoxido_de_carbono,14,6.5583333333333333
2015,12,6,monoxido_de_carbono,16,9.2166666666666667
2015,12,5,monoxido_de_carbono,16,10.4833333333333333
2014,12,2,monoxido_de_carbono,15,7.0500000000000000
2015,12,4,monoxido_de_carbono,13,7.6666666666666667
2016,12,2,monoxido_de_carbono,15,8.9333333333333333
2015,12,1,monoxido_de_carbono,13,6.8000000000000000
2013,12,3,monoxido_de_carbono,25,12.0916666666666667
2014,12,6,monoxido_de_carbono,18,10.7500000000000000
2015,12,3,monoxido_de_carbono,14,7.7916666666666667
2014,12,3,monoxido_de_carbono,15,9.2250000000000000
2015,12,0,monoxido_de_carbono,13,7.4666666666666667
2016,12,4,monoxido_de_carbono,14,7.6166666666666667
2014,12,1,monoxido_de_carbono,8,4.8916666666666667
2016,12,3,monoxido_de_carbono,17,6.0000000000000000
2014,12,5,monoxido_de_carbono,15,9.0500000000000000
2013,12,2,monoxido_de_carbono,23,9.9750000000000000
2013,12,1,monoxido_de_carbono,15,6.9916666666666667
2013,12,4,monoxido_de_carbono,17,8.8583333333333333
2016,12,5,monoxido_de_carbono,9,5.4916666666666667
2013,12,6,monoxido_de_carbono,16,7.7416666666666667
2016,12,2,ozono,69,22.7250000000000000
2015,12,4,ozono,100,24.9916666666666667
2013,12,3,ozono,133,46.7750000000000000
2014,12,4,ozono,166,48.9500000000000000
2014,12,5,ozono,122,38.0250000000000000
2016,12,4,ozono,47,18.5583333333333333
2013,12,6,ozono,43,22.1000000000000000
2015,12,2,ozono,88,23.0083333333333333
2016,12,5,ozono,38,19.9250000000000000
2016,12,6,ozono,44,21.9250000000000000
2016,12,1,ozono,55,20.1333333333333333
2013,12,2,ozono,124,47.1500000000000000
2013,12,4,ozono,87,35.9000000000000000
2013,12,0,ozono,120,40.3000000000000000
2014,12,0,ozono,104,43.4333333333333333
2015,12,3,ozono,103,24.3416666666666667
2016,12,3,ozono,59,17.8666666666666667
2013,12,1,ozono,106,45.3083333333333333
2015,12,1,ozono,46,17.8750000000000000
2014,12,2,ozono,56,24.1500000000000000
2014,12,3,ozono,106,35.0833333333333333
2013,12,5,ozono,41,22.3416666666666667
2016,12,0,ozono,92,31.7833333333333333
